"Names","source_file","Sample Details","Test Name","Result","Units","Absorbance","Time","Manual Dil","Auto Dil","Sample ID","Nutri","Blank_avg","Dil_result","Ortho_blanked","Ortho_P_mg_kg","Site","Transect","Location"
"S12T1L47","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.08,"mg P/L",0.019011,"Mon Jan 20 19:13:35 2025",1,1,NA,1.02,0.0175,0.08,0.0625,0.459558823529412,"12","1","47"
"S12T2L3","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.051,"mg P/L",0.014021,"Tue Jan 21 20:38:11 2025",1,1,NA,1.01,0.0175,0.051,0.0335,0.248762376237624,"12","2","3"
"S12T2L9","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.202,"mg P/L",0.01886,"Tue Jan 21 21:13:03 2025",1,3.01,NA,1.03,0.0175,0.067109634551495,0.049609634551495,0.361235203044867,"12","2","9"
"S12T2L16","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.071,"mg P/L",0.019966,"Tue Jan 21 20:31:44 2025",1,1,NA,1.02,0.0175,0.071,0.0535,0.393382352941176,"12","2","16"
"S12T2L33","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.114,"mg P/L",0.033331,"Tue Jan 21 20:33:01 2025",1,1,NA,1.06,0.0175,0.114,0.0965,0.682783018867925,"12","2","33"
"S12T2L39","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.05,"mg P/L",0.013509,"Tue Jan 21 20:49:22 2025",1,1,NA,1.07,0.0175,0.05,0.0325,0.227803738317757,"12","2","39"
"S12T2L47","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.047,"mg P/L",0.012705,"Tue Jan 21 20:36:54 2025",1,1,NA,1.06,0.0175,0.047,0.0295,0.20872641509434,"12","2","47"
"S10T1L3","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.095,"mg P/L",0.027498,"Tue Jan 21 20:03:13 2025",1,1,NA,1.04,0.0175,0.095,0.0775,0.558894230769231,"10","1","3"
"S10T1L10","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.126,"mg P/L",0.032072,"Mon Jan 20 19:21:24 2025",1,1,NA,1.02,0.0175,0.126,0.1085,0.797794117647059,"10","1","10"
"S10T1L39","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.047,"mg P/L",0.012631,"Tue Jan 21 19:52:44 2025",1,1,NA,1,0.0175,0.047,0.0295,0.22125,"10","1","39"
"S10T1L47","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.06,"mg P/L",0.013338,"Mon Jan 20 19:42:15 2025",1,1,NA,1.03,0.0175,0.06,0.0425,0.309466019417476,"10","1","47"
"S10T2L3","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.048,"mg P/L",0.012797,"Tue Jan 21 19:47:32 2025",1,1,NA,1,0.0175,0.048,0.0305,0.22875,"10","2","3"
"S10T2L10","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.175,"mg P/L",0.052293,"Tue Jan 21 20:00:37 2025",1,1,NA,1,0.0175,0.175,0.1575,1.18125,"10","2","10"
"S10T2L15","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.077,"mg P/L",0.018177,"Mon Jan 20 19:34:27 2025",1,1,NA,1,0.0175,0.077,0.0595,0.44625,"10","2","15"
"S10T2L33","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.057,"mg P/L",0.01252,"Mon Jan 20 19:14:52 2025",1,1,NA,1,0.0175,0.057,0.0395,0.29625,"10","2","33"
"S10T2L39","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",1.261,"mg P/L",0.128007,"Tue Jan 21 21:12:10 2025",1,3.01,NA,1.03,0.0175,0.418936877076412,0.401436877076412,2.92308405638164,"10","2","39"
"S10T2L47","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.104,"mg P/L",0.025875,"Mon Jan 20 19:20:06 2025",1,1,NA,1.02,0.0175,0.104,0.0865,0.636029411764706,"10","2","47"
"S26T1L3","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.059,"mg P/L",0.013084,"Mon Jan 20 19:49:59 2025",1,1,NA,1,0.0175,0.059,0.0415,0.31125,"26","1","3"
"S26T1L10","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.09,"mg P/L",0.021811,"Mon Jan 20 19:44:53 2025",1,1,NA,1,0.0175,0.09,0.0725,0.54375,"26","1","10"
"S26T1L16","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.589,"mg P/L",0.180629,"Tue Jan 21 20:34:19 2025",1,1,NA,1.02,0.0175,0.589,0.5715,4.20220588235294,"26","1","16"
"S26T1L33","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.12,"mg P/L",0.030235,"Mon Jan 20 19:50:52 2025",1,1,NA,1.06,0.0175,0.12,0.1025,0.725235849056604,"26","1","33"
"S26T1L39","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",1.385,"mg P/L",0.140748,"Tue Jan 21 21:13:56 2025",1,3.01,NA,1,0.0175,0.460132890365449,0.442632890365449,3.31974667774086,"26","1","39"
"S26T1L47","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.041,"mg P/L",0.01076,"Tue Jan 21 20:39:29 2025",1,1,NA,1.02,0.0175,0.041,0.0235,0.172794117647059,"26","1","47"
"S26T2L3","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.131,"mg P/L",0.033384,"Mon Jan 20 19:27:53 2025",1,1,NA,1.03,0.0175,0.131,0.1135,0.826456310679612,"26","2","3"
"S26T2L10","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.094,"mg P/L",0.022921,"Mon Jan 20 19:30:29 2025",1,1,NA,1.01,0.0175,0.094,0.0765,0.568069306930693,"26","2","10"
"S26T2L16","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.083,"mg P/L",0.023693,"Tue Jan 21 19:50:08 2025",1,1,NA,1,0.0175,0.083,0.0655,0.49125,"26","2","16"
"S26T2L33","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.074,"mg P/L",0.01746,"Mon Jan 20 19:35:45 2025",1,1,NA,1.02,0.0175,0.074,0.0565,0.415441176470588,"26","2","33"
"S26T2L39","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.039,"mg P/L",0.010114,"Tue Jan 21 19:46:14 2025",1,1,NA,1.03,0.0175,0.039,0.0215,0.156553398058252,"26","2","39"
"S26T2L47","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.058,"mg P/L",0.015889,"Tue Jan 21 20:27:46 2025",1,1,NA,1,0.0175,0.058,0.0405,0.30375,"26","2","47"
"S8T1L3","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.09,"mg P/L",0.025995,"Tue Jan 21 19:51:26 2025",1,1,NA,1.03,0.0175,0.09,0.0725,0.527912621359223,"8","1","3"
"S8T1L10","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.081,"mg P/L",0.023297,"Tue Jan 21 19:48:50 2025",1,1,NA,1,0.0175,0.081,0.0635,0.47625,"8","1","10"
"S8T1L16","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.075,"mg P/L",0.017678,"Mon Jan 20 19:22:42 2025",1,1,NA,1.06,0.0175,0.075,0.0575,0.406839622641509,"8","1","16"
"S8T1L33","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.075,"mg P/L",0.021423,"Tue Jan 21 20:10:58 2025",1,1,NA,1.03,0.0175,0.075,0.0575,0.418689320388349,"8","1","33"
"S8T1L39","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.077,"mg P/L",0.021867,"Tue Jan 21 20:26:28 2025",1,1,NA,1,0.0175,0.077,0.0595,0.44625,"8","1","39"
"S8T1L47","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.083,"mg P/L",0.023907,"Tue Jan 21 20:43:25 2025",1,1,NA,1,0.0175,0.083,0.0655,0.49125,"8","1","47"
"S8T2L3","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.092,"mg P/L",0.022559,"Mon Jan 20 19:25:17 2025",1,1,NA,1,0.0175,0.092,0.0745,0.55875,"8","2","3"
"S8T2L10","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.095,"mg P/L",0.023371,"Mon Jan 20 19:52:38 2025",1,1,NA,1.03,0.0175,0.095,0.0775,0.564320388349514,"8","2","10"
"S8T2L16","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.051,"mg P/L",0.014012,"Tue Jan 21 20:46:43 2025",1,1,NA,1.03,0.0175,0.051,0.0335,0.243932038834951,"8","2","16"
"S8T2L33","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.057,"mg P/L",0.012696,"Mon Jan 20 19:53:31 2025",1,1,NA,1,0.0175,0.057,0.0395,0.29625,"8","2","33"
"S8T2L39","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.124,"mg P/L",0.0314,"Mon Jan 20 19:37:03 2025",1,1,NA,1,0.0175,0.124,0.1065,0.79875,"8","2","39"
"S8T2L47","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.088,"mg P/L",0.02536,"Tue Jan 21 20:42:04 2025",1,1,NA,1.02,0.0175,0.088,0.0705,0.518382352941176,"8","2","47"
"S7T1L3","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.059,"mg P/L",0.016425,"Tue Jan 21 20:22:36 2025",1,1,NA,1.05,0.0175,0.059,0.0415,0.296428571428571,"7","1","3"
"S7T1L10","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.135,"mg P/L",0.039932,"Tue Jan 21 19:55:21 2025",1,1,NA,1,0.0175,0.135,0.1175,0.88125,"7","1","10"
"S7T1L16","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.265,"mg P/L",0.08008,"Tue Jan 21 20:16:12 2025",1,1,NA,1.06,0.0175,0.265,0.2475,1.75117924528302,"7","1","16"
"S7T1L33","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.075,"mg P/L",0.017794,"Mon Jan 20 19:29:11 2025",1,1,NA,1,0.0175,0.075,0.0575,0.43125,"7","1","33"
"S7T1L39","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.073,"mg P/L",0.020689,"Tue Jan 21 20:40:46 2025",1,1,NA,1.02,0.0175,0.073,0.0555,0.408088235294118,"7","1","39"
"S7T1L47","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.09,"mg P/L",0.021874,"Mon Jan 20 19:40:57 2025",1,1,NA,1.05,0.0175,0.09,0.0725,0.517857142857143,"7","1","47"
"S7T2L3","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.198,"mg P/L",0.059452,"Tue Jan 21 20:23:54 2025",1,1,NA,1,0.0175,0.198,0.1805,1.35375,"7","2","3"
"S7T2L10","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.709,"mg P/L",0.196698,"Mon Jan 20 19:18:49 2025",1,1,NA,1.04,0.0175,0.709,0.6915,4.98677884615385,"7","2","10"
"S7T2L16","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.084,"mg P/L",0.024214,"Tue Jan 21 20:09:41 2025",1,1,NA,1.04,0.0175,0.084,0.0665,0.479567307692308,"7","2","16"
"S7T2L33","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.044,"mg P/L",0.011709,"Tue Jan 21 20:18:46 2025",1,1,NA,1.03,0.0175,0.044,0.0265,0.192961165048544,"7","2","33"
"S7T2L39","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.08,"mg P/L",0.018993,"Mon Jan 20 19:26:35 2025",1,1,NA,1.05,0.0175,0.08,0.0625,0.446428571428571,"7","2","39"
"S7T2L47","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.11,"mg P/L",0.032286,"Tue Jan 21 20:48:29 2025",1,1,NA,1.06,0.0175,0.11,0.0925,0.654481132075472,"7","2","47"
"S10T1L16","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.267,"mg P/L",0.071908,"Mon Jan 20 19:12:18 2025",1,1,NA,1.06,0.0175,0.267,0.2495,1.76533018867925,"10","1","16"
"S10T1L33","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.0803333333333333,"mg P/L",0.0229586666666667,"Tue Jan 21 19:44:56 2025",1,1,NA,1.05,0.0175,0.0803333333333333,0.0628333333333333,0.448809523809524,"10","1","33"
"Blank 1","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.02,"mg P/L",0.002072,"Mon Jan 20 19:39:39 2025",1,1,"BLANK",NA,0.0175,0.02,0.0025,NA,"Blank 1","Blank 1","Blank 1"
"Blank 2","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.015,"mg P/L",0.002641,"Tue Jan 21 20:52:02 2025",1,1,"BLANK",NA,0.0175,0.015,0.0144,NA,"Blank 2","Blank 2","Blank 2"
