Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C B ,,o-Phos 1,  0.019,mg P/L,0.001922,Mon Jan 20 19:17:30 2025,1,1
S7T2L10,,o-Phos 1,  0.709,mg P/L,0.196698,Mon Jan 20 19:18:49 2025,1,1
S10T2L47,,o-Phos 1,  0.104,mg P/L,0.025875,Mon Jan 20 19:20:06 2025,1,1
S10T1L10,,o-Phos 1,  0.126,mg P/L,0.032072,Mon Jan 20 19:21:24 2025,1,1
S8T1L16,,o-Phos 1,  0.075,mg P/L,0.017678,Mon Jan 20 19:22:42 2025,1,1
S34T2L3,,o-Phos 1,  0.339,mg P/L,0.092250,Mon Jan 20 19:23:59 2025,1,1
S8T2L3,,o-Phos 1,  0.092,mg P/L,0.022559,Mon Jan 20 19:25:17 2025,1,1
S7T2L39,,o-Phos 1,  0.080,mg P/L,0.018993,Mon Jan 20 19:26:35 2025,1,1
S26T2L3,,o-Phos 1,  0.131,mg P/L,0.033384,Mon Jan 20 19:27:53 2025,1,1
S7T1L33,,o-Phos 1,  0.075,mg P/L,0.017794,Mon Jan 20 19:29:11 2025,1,1
S26T2L10,,o-Phos 1,  0.094,mg P/L,0.022921,Mon Jan 20 19:30:29 2025,1,1
C C V,,o-Phos 1,  0.498,mg P/L,0.136986,Mon Jan 20 20:44:31 2025,1,1
C C B ,,o-Phos 1,  0.020,mg P/L,0.002125,Mon Jan 20 19:33:08 2025,1,1
S10T2L15,,o-Phos 1,  0.077,mg P/L,0.018177,Mon Jan 20 19:34:27 2025,1,1
S26T2L33,,o-Phos 1,  0.074,mg P/L,0.017460,Mon Jan 20 19:35:45 2025,1,1
S8T2L39,,o-Phos 1,  0.124,mg P/L,0.031400,Mon Jan 20 19:37:03 2025,1,1
S34T1L15,,o-Phos 1,  0.172,mg P/L,0.044950,Mon Jan 20 19:38:21 2025,1,1
BLANK,,o-Phos 1,  0.020,mg P/L,0.002072,Mon Jan 20 19:39:39 2025,1,1
S7T1L47,,o-Phos 1,  0.090,mg P/L,0.021874,Mon Jan 20 19:40:57 2025,1,1
S10T1L47,,o-Phos 1,  0.060,mg P/L,0.013338,Mon Jan 20 19:42:15 2025,1,1
S12T1L33,,o-Phos 1,  0.070,mg P/L,0.016180,Mon Jan 20 19:43:33 2025,1,1
S26T1L10,,o-Phos 1,  0.090,mg P/L,0.021811,Mon Jan 20 19:44:53 2025,1,1
S12T1L3,,o-Phos 1,  0.492,mg P/L,0.135307,Mon Jan 20 19:46:13 2025,1,1
C C V,,o-Phos 1,  0.554,mg P/L,0.152987,Mon Jan 20 19:47:10 2025,1,1
C C B ,,o-Phos 1,  0.020,mg P/L,0.002020,Mon Jan 20 19:48:12 2025,1,1
S10T1L16,,o-Phos 1,  0.270,mg P/L,0.072628,Mon Jan 20 19:49:05 2025,1,1
S26T1L3,,o-Phos 1,  0.059,mg P/L,0.013084,Mon Jan 20 19:49:59 2025,1,1
S26T1L33,,o-Phos 1,  0.120,mg P/L,0.030235,Mon Jan 20 19:50:52 2025,1,1
S12T1L9,,o-Phos 1,  0.852,mg P/L,0.237166,Mon Jan 20 19:51:45 2025,1,1
S8T2L10,,o-Phos 1,  0.095,mg P/L,0.023371,Mon Jan 20 19:52:38 2025,1,1
S8T2L33,,o-Phos 1,  0.057,mg P/L,0.012696,Mon Jan 20 19:53:31 2025,1,1
S10T1L16,,o-Phos 1,  0.266,mg P/L,0.071704,Mon Jan 20 19:54:24 2025,1,1
C C V,,o-Phos 1,  0.482,mg P/L,0.132598,Mon Jan 20 19:55:18 2025,1,1
C C B ,,o-Phos 1,  0.020,mg P/L,0.002229,Mon Jan 20 19:56:12 2025,1,1
